long,lat,nombre,barrio
-58.44364453,-34.58933778,AGUIRRE 1447,Chacarita
-58.41105067,-34.65190701,CACHI 795,Nueva Pompeya
-58.4329925,-34.59673914,CASTILLO 359,Villa Crespo
-58.43370218,-34.59597893,CASTILLO 441,Villa Crespo
-58.44082294,-34.58866749,CASTILLO 1336,Chacarita
-58.44278161,-34.5873114,CASTILLO 1538,Chacarita
-58.42040231,-34.62514548,CASTRO 1032,Boedo
-58.4198408,-34.62765412,CASTRO 1212,Boedo
-58.41910098,-34.63100156,CASTRO 1534,Boedo
-58.41926485,-34.63507874,CASTRO 1848,Boedo
-58.41894089,-34.63771932,CASTRO 2136,Boedo
-58.47545465,-34.69357159,CORRALES 6995,Villa Riachuelo
-58.45823115,-34.55698196,CUBA 2516,Belgrano
-58.46491768,-34.54963029,CUBA 3392,Nuñez
-58.4667303,-34.54715322,CUBA 3700,Nuñez
-58.46958076,-34.54328068,CUBA 4216,Nuñez
-58.45023155,-34.58571135,FRAGA 423,Chacarita
-58.45255118,-34.5846894,FRAGA 615,Chacarita
-58.45689933,-34.58368033,FRAGA 982,Chacarita
-58.45853046,-34.58314588,FRAGA 1080,Chacarita
-58.4615828,-34.58295625,FRAGA 1274,Villa Ortuzar
-58.46412648,-34.58288202,FRAGA 1450,Villa Ortuzar
-58.46590223,-34.58283144,FRAGA 1586,Villa Ortuzar
-58.46877028,-34.58274807,FRAGA 1830,Villa Ortuzar
-58.45921638,-34.61483568,FRANKLIN 1712,Flores
-58.46180229,-34.61570021,FRANKLIN 1926,Flores
-58.46459486,-34.61669856,FRANKLIN 2140,Flores
-58.46672272,-34.61759171,FRANKLIN 2330,Flores
-58.44639419,-34.58846711,GUEVARA 29,Chacarita
-58.44982435,-34.58705283,GUEVARA 365,Chacarita
-58.3779398,-34.65243863,JORGE 2250,Barracas
-58.39356188,-34.58890836,"LOPEZ, VICENTE 2049",Recoleta
-58.44455794,-34.55342947,MENDOZA 1156,Belgrano
-58.44585172,-34.55419917,MENDOZA 1260,Belgrano
-58.44720174,-34.55500248,MENDOZA 1382,Belgrano
-58.44763112,-34.55525598,MENDOZA 1416,Belgrano
-58.44903854,-34.55607851,MENDOZA 1546,Belgrano
-58.45634229,-34.56044427,MENDOZA 2292,Belgrano
-58.46749559,-34.56703495,MENDOZA 3408,Belgrano
-58.46910459,-34.56809209,MENDOZA 3592,Belgrano
-58.46998745,-34.56860927,MENDOZA 3688,Belgrano
-58.4704024,-34.5688564,MENDOZA 3710,Belgrano
-58.39308514,-34.61272627,MORENO 1889,Balvanera
-58.39592844,-34.61292429,MORENO 2095,Balvanera
-58.39850826,-34.61307093,MORENO 2281,Balvanera
-58.40051191,-34.61317377,MORENO 2415,Balvanera
-58.40389675,-34.61334485,MORENO 2679,Balvanera
-58.40894541,-34.61393571,MORENO 3015,Balvanera
-58.41163593,-34.6140258,MORENO 3219,Balvanera
