long,lat,materiales,dias_y_horario,direccion,barrio
-58.46530947,-34.56722639,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19hs.,CONDE y JURAMENTO,Belgrano
-58.42494508,-34.58921874,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,MALABIA y COSTA RICA,Palermo
-58.46839172,-34.54708679,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,MANZANARES y VUELTA DE OBLIGADO,Nuñez
-58.50388387,-34.57631328,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,"ARTIGAS, JOSE GERVASIO, GRAL. y LARSEN",Villa Pueyrredon
-58.48345186,-34.62962551,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,AVELLANEDA AV. y CHIVILCOY,Floresta
-58.51663173,-34.64946145,Aparatos de informática y comunicación (hasta 3 unid. y accesorios) /pequeños electrodomésticos (hasta 3 un.)/ papel / cartón / metal / vidrio / plástico / telgopor / tetra-brik / Aceite Vegetal usado,Miércoles a Domingos de 11 a 19hs.,"DE LA TORRE, LISANDRO y PATRON",Liniers
-58.44020339,-34.6617677,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,"CORREA MORALES, LUCIO y LAFUENTE",Villa Soldati
-58.44196087,-34.635717,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19hs.,ASAMBLEA AV. y HORTIGUERA,Parque Chacabuco
-58.41891917,-34.60531301,Aparatos de informática y comunicación (hasta 3 unid. y accesorios) /pequeños electrodomésticos (hasta 3 un.)/ papel / cartón / metal / vidrio / plástico / telgopor / tetra-brik / Aceite Vegetal usado,Miércoles a Domingos de 11 a 19hs.,SARMIENTO y BULNES,Almagro
-58.37454159,-34.63767369,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,"MONTES DE OCA, MANUEL AV. y BRANDSEN",Barracas
-58.40375464,-34.61719617,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,JUJUY AV. y MEXICO,Balvanera
-58.3758557,-34.62216217,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,SAN JUAN AV. y CHACABUCO,San Telmo
-58.43305061,-34.60644587,Aparatos de informática y comunicación (hasta 3 unid. y accesorios) /pequeños electrodomésticos (hasta 3 un.)/ papel / cartón / metal / vidrio / plástico / telgopor / tetra-brik / Aceite Vegetal usado,Miércoles a Domingos de 10 a 19 hs.,"PATRICIAS ARGENTINAS AV. y ROENTGEN, AV.",Caballito
-58.48147583,-34.55182184,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,"PEREZ, ROQUE y PAROISSIEN",Saavedra
-58.46266395,-34.58011018,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,CHARLONE y HEREDIA,Villa Ortuzar
-58.40781131,-34.59777404,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19hs.,"ANCHORENA, TOMAS MANUEL DE, DR. y CORDOBA AV.",Balvanera
-58.49346439,-34.60587581,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,CAMPANA y BAIGORRIA,Villa Del Parque
-58.39812601,-34.61118274,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,"YRIGOYEN, HIPOLITO y PASCO",Balvanera
-58.41273111,-34.62209983,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,ESTADOS UNIDOS y SANCHEZ DE LORIA,Boedo
-58.47530552,-34.68783243,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Villa Riachuelo
-58.44855391,-34.59224067,Aparatos de informática y comunicación (hasta 3 unid. y accesorios) /pequeños electrodomésticos (hasta 3 un.)/ papel / cartón / metal / vidrio / plástico / telgopor / tetra-brik /Aceite Vegetal usado,Miércoles a Domingos de 11 a 19 hs.,DORREGO AV. y GUZMAN,Chacarita
-58.41616255,-34.58929302,Aparatos de informática y comunicación (hasta 3 unid. y accesorios) /pequeños electrodomésticos (hasta 3 un.)/ papel / cartón / metal / vidrio / plástico / telgopor / tetra-brik / Aceite Vegetal usado,Miércoles a Domingos de 11 a 19hs.,MEDRANO y CHARCAS,Palermo
-58.4545476,-34.56193901,Aparatos de informática y comunicación (hasta 3 unid. y accesorios) /pequeños electrodomésticos (hasta 3 un.)/ papel / cartón / metal / vidrio / plástico / telgopor / tetra-brik / Aceite Vegetal usado,Miércoles a Domingos de 11 a 19 hs.,CUBA y JURAMENTO AV.,Belgrano
-58.51242926,-34.60035419,Aparatos de informática y comunicación (hasta 3 unid. y accesorios) /pequeños electrodomésticos (hasta 3 un.)/ papel / cartón / metal / vidrio / plástico / telgopor / tetra-brik / Aceite Vegetal usado,Miércoles a Domingos de 10 a 19 hs.,NUEVA YORK y MERCEDES,Villa Devoto
-58.5084849,-34.62645579,Aparatos de informática y comunicación (hasta 3 unid. y accesorios) /pequeños electrodomésticos (hasta 3 un.)/ papel / cartón / metal / vidrio / plástico / telgopor / tetra-brik / Aceite Vegetal usado,Miércoles a Domingos de 11 a 19 hs.,"LOPE DE VEGA AV. y GONZALEZ, ELPIDIO",Monte Castro
